朱时茂	陈佩斯
赵本山	赵晨浩
光绪	黄遵宪
刘宝瑞	唐杰忠
多尔衮	代善
张国荣	关智斌
何云伟	郭德纲
韦昌辉	石达开
赵芸蕾	田卿
李少红	曾念平
忍子	流川枫
朱丽倩	刘德华
廖承志	陈香梅
龚云甫	文亮臣
王力宏	郑允浩
毛远新	毛泽民
刘宝瑞	郭全宝
卫子夫	汉武帝
朱安	许广平
周付元	周春秀
萧何	韩信
哈辉	杨柳
郑允浩	王力宏
阮小五	阮小二
张洁清	彭真
项羽	虞姬
裘盛戎	裘桂仙
陆毅	鲍蕾
贾母	王夫人
汉成帝	班婕妤
庄希泉	余佩皋
韩庚	郑允浩
红线女	任剑辉
秦始皇	赵高
关羽	关平
梅兰芳	吴菱仙
侯军	侯耀华
军	张顺
王刚	成方圆
张君秋	关正明
王宁	邢质斌
刘晓兰	郭云深
文章	梁宗岱
蒋中正	胡宗南
李菁	栾云平
刘备	孙权
栾云平	李菁
貂蝉	董卓
曹奂	曹操
孙奋	孙休
贺聪	葛优
陈岚	丁佩
徐娇	周星驰
赵一荻	张学良
曹腾	曹嵩
邢慧娜	王德显
迟浩田	姜青萍
梁丹妮	冯远征
梅兰芳	王瑶卿
孙甫亭	女
傅全香	袁雪芬
苏步青	胡和生
马小曼	马连良
张桂凤	吕瑞英
吴用	阮小七
张曼玲	尚长荣
高	贾政
郭全宝	刘宝瑞
宋德珠	宋丹菊
曹爽	司马懿
袁世凯	袁克文
许广平	雷洁琼
杨秀清	冯云山
杜近芳	李宝春
孙权	周瑜
方声洞	王颖
姚晨	凌潇肃
刘文辉	刘元彦
赵建铭	吴淑珍
张桂莲	戚雅仙
张育汉	小钟
唐高宗	李治
郑弘	张译
陆定一	严慰冰
杨少华	侯宝林
黄宗江	黄宗英
马连良	马小曼
何东	周绮文
郭德纲	谢娜
李丹宇	李望知
谢东	杨钰莹
蔡依林	陈冠希
刘邦	吕后
赵佩茹	常连安
陈可辛	吴君如
杨振宁	李政道
曾志伟	曾国祥
陈致中	陈水扁
诸葛亮	关羽
王采玉	毛福梅
陈泮岭	李存义
李蕴	刘谦
金正日	高
江泽民	江泽慧
成龙	孟海
方文山	吴宗宪
张茜	陈毅
汪明荃	罗家英
刘国梁	刘国栋
李前宽	毛泽东
郭靖	小龙女
何超琼	许晋亨
张飞	胡军
毛岸英	刘思齐
侯宝林	郭全宝
安娜	刘亚楼
慈瑞泉	慈少泉
傅声	华
甄士隐	贾雨村
杨紫琼	蔡慧敏
陈冠希	杨永晴
刘禅	甘夫人
张飞	关羽
曹霖	曹丕
余秋里	杨尚昆
古健杰	李宗伟
孔融	孔褒
贾琏	王熙凤
章含之	女
汪洋	赵本山
张瑞芳	余克稷
王鹏	李宁
女	孙怡云
刘宗杨	杨小楼
赵一荻	张学良
毛泽东	孔从洲
郭令山	郭晋安
宋远桥	莫声谷
侯耀文	侯耀华
林申	李小婉
黄帝	嫘祖
李少春	张云溪
费孝通	吴泽霖
陈祖莫	陈昌浩
范瑞娟	毕春芳
柳如是	钱谦益
吕良伟	杨小娟
冯钟璞	宗璞
王根英	周恩来
戴月琴	吴祖光
范伟	梁信军
卡米拉	戴安娜
周丽淇	郑嘉颖
高英姬	金正哲
曹操	曹丕
郭启儒	郭全宝
孙翊	孙策
李多奎	孙甫亭
何超云	何超盈
张作霖	段祺瑞
姚晨	曹郁
齐秦	王祖贤
李泽楷	梁洛施
小钟	蓝正龙
叶璇	林峰
彭雪枫	林颖
武大郎	西门庆
苗若兰	胡斐
吕大忠	吕大钧
吴作人	萧淑芳
马克思	斯大林
刘宝瑞	侯宝林
伍文忠	肖国栋
吴文藻	吴泽霖
冯爱居	冯弘
范玮琪	陈建州
萧长华	李洪春
侯宝林	郭启儒
冯小刚	张娣
成吉思汗	拖雷
女	张杰尧
刘雪涛	沈曼华
允浩	赵晨浩
梁红玉	韩世忠
许广平	郑振铎
侯耀华	侯耀文
兰穆	慕容盛
希特勒	戈林
张佩纶	洪钧
高	梁朝伟
黄心琳	刘谦
王玉珍	周麟阁
吴乃群	刘玉栋
郑允浩	赵晨浩
钱思亮	傅斯年
曹斯杰	郭守正
徐玉兰	吕瑞英
贺锡敬	徐若瑄
任剑辉	吴楚帆
张卫健	韦小宝
大乔	小乔
刘子张	刘玄
尤二姐	秋桐
张桂凤	钱惠丽
刘思齐	邵华
张桂莲	钱妙花
新凤霞	吴祖光
陈晓旭	姬玉
毛泽东	刘滨
赵宏博	申雪
曹操	荀彧
赵晨浩	郑允浩
钱均夫	钱学森
张瑞芳	金山
倪匡	任盈盈
徐有禄	郭启儒
林黛玉	贾母
高	陈红
莫文骅	罗荣桓
希特勒	海德里希
陈水扁	吴淑珍
洪秀全	冯云山
武宫正树	赵治勋
林月如	赵灵儿
田秉毅	周继红
林志玲	张震
尔冬升	古龙
程颢	孔子
佟守本	赵世忠
林文龙	郭可盈
毛泽覃	朱德
周韵	姜文
杨振宁	翁帆
甄珍	傅声
张学友	罗美薇
陈竹隐	朱自清
申雪	赵宏博
刘军	吴瑞林
李可染	宗其香
犬夜叉	杀生丸
袁克权	袁伯祯
女	秦子涵
玛莎	阿信
林嘉欣	袁剑伟
黄绍兰	章太炎
黄光裕	黄俊钦
洪煦榆	洪天明
郭台铭	曾馨莹
张三丰	宋远桥
侯宝林	郭全宝
洪荣宏	洪敬尧
王力宏	韩庚
苗侨伟	苗彤
詹姆斯	奥尼尔
韩寒	李戡
曹茂	曹丕
潘玮柏	蔡依林
谢虹雯	杨珉
蒋友柏	蒋孝勇
梁丹妮	冯远征
林立衡	林立果
缪敏	方志敏
郭德纲	曹云金
侯宝林	郭启儒
竺水招	赵瑞花
蒋倩竹	刘光宇
章含之	洪晃
何超贤	黎婉华
陈知进	陈赓
李伯祥	句号
刘邦	刘肥
姚明	麦迪
大S	汪小菲
阿朱	乔峰
杨钰莹	毛宁
陈数	赵胤胤
叶莉	姚明
杜晓婷	严宽
杨化然	佟守本
谭鑫培	谭正岩
宋步云	高淑贞
李豫	唐代宗
林雪怀	胡蝶
吴征	杨澜
王尚勤	李敖
罗嘉良	苏岩
阎锡山	卢永祥
刘邦	项羽
王安	魏朝
王兆民	王菲
彭顺	李心洁
吉粉花	刘翔
刘永好	女
陈志云	马浚伟
冯弘	冯跋
周伟	周璇
郭孔丞	邓丽君
何东旭	方招
梁红玉	韩世忠
萧珊	巴金
曹洪	满宠
谭鑫培	梅兰芳
梁邦楚	傅抱石
马连良	侯喜瑞
冯小刚	赵晨浩
张卫健	宣萱
蒋经国	蒋友柏
童寿苓	刘雪涛
蒋经国	蒋方良
萧军	李公朴
张德武	李菁
韦春花	韦小宝
余彩琴	陆锦花
张末	张艺谋
高秀敏	何庆魁
罗秀春	张默
李师师	李逵
潘世亨	陈冠希
山口百惠	三浦友和
巩汉林	金珠
钟小江	刘若英
鲁迅	马珏
王菲	罗海琼
萧淑芳	吴作人
邢嘉倩	陈冠希
谢晖	贝克汉姆
李金	李阳
姬云飞	关凌
李惠媛	安贞焕
林冲	阮小二
吴尊	赵晨浩
曹真	曹则
施明	Twins
陈德容	琼瑶
陈果夫	陈立夫
方招	何东旭
邵滨孙	袁滨忠
江冬秀	胡适
毛泽覃	毛泽民
田汉	云燕铭
霍去病	勇
梁启超	王桂荃
贾琏	平儿
周星霞	周星驰
季羡林	李玉洁
朱德	刘少奇
俞小凡	翁家明
尚爱兰	蒋方舟
孟小冬	杜月笙
何云伟	王文玉
王茂俊	刘璇
韩鹏	曲波
孔子	李敏
黄志忠	琼瑶
李文华	姜昆
陆机	张华
刘长瑜	钱浩梁
罗瑞卿	杨成武
王熙凤	贾珍
丁果仙	侯宝林
陈冠希	杨永晴
张卫健	张茜
诸葛均	刘备
杨谨华	女
袁雪芬	任伯棠
蔡明	郭达
官晶华	沈殿霞
洪学智	张文
陈建州	王东生
王靖雄	王令尘
钟德海	常旭久
曹操	典韦
穆旦	郑敏
曹爽	曹操
鲁肃	张丰毅
陈馥	陈修良
高小英	张东健
宗璞	冯珏
张文秋	毛泽东
李慧芳	俞振飞
廖一梅	孟京辉
闻一多	高孝贞
杜丽	庞伟
张艾嘉	杨淇
王重阳	刘处玄
孟小冬	离异
王庾生	李宗义
许广平	鲁迅
李婷	孙甜甜
徐保慈	徐世昌
李敖	李戡
杨鉴清	荣毅仁
王处一	王重阳
郭富城	欧弟
王近山	杜义德
王越古	李佳薇
郁达夫	王映霞
王烁	房祖名
赵玉柱	赵建铭
张飞	关羽
陈水扁	赵翊廷
周成海	白静
卢俊义	燕青
曹丕	曹冲
李嘉欣	何超琼
常香玉	马金凤
张煌言	郑成功
张无忌	谢逊
邱嘉雄	林月云
吴淑珍	陈致中
孟凡贵	高英培
李嘉诚	李泽楷
秦叔宝	李世民
鲍蕾	陆毅
任冰儿	关德兴
戴乃迭	杨宪益
林俊杰	郑允浩
吕瑞英	傅全香
罗敏庄	陈国邦
金正恩	李雪主
荀彧	曹操
高旗	陈娟红
潘长江	潘阳
周迅	周杰伦
刘琮	蔡氏
袁承志	温青青
毛泽东	邵华
张宇飞	张雨生
任冰儿	任剑辉
许爱周	许晋亨
解宝	解珍
赵元任	杨步伟
袁霸	袁敏
林成璋	林散之
胡适	韦莲司
罗玉珍	郭台强
鲍叔牙	管仲
李永波	田秉毅
尔冬升	姜大卫
陈凯歌	倪萍
马普仁	马鸿宾
赵子龙	胡军
徐立棠	裘桂仙
小钟	张育汉
林嘉欣	曾国祥
王文娟	张小巧
刘邦	萧何
陶晶莹	李李仁
毛岸英	刘思齐
李宝春	李少春
孙玉奎	黄仲华
侯宝林	郭启儒
女	孙多慈
于国霖	于克淼
封至模	陈素真
童寿苓	江世玉
蒋方良	蒋孝勇
蒋纬国	蒋介石
周令飞	马新云
尚小云	朱素云
杨不悔	殷梨亭
洪秀全	冯云山
吕后	韩信
叶群	林立衡
刘备	甘夫人
吕瑞英	张桂凤
吴用	宋江
汤镇业	翁美玲
梁醒波	任剑辉
段正淳	刀白凤
尚小云	杨荣环
安志杰	谢婷婷
高丽虹	洪金宝
米家山	潘虹
张仃	梁邦楚
赵岭	袁立
粟戎生	粟裕
徐延旗	徐秋京
刘弗陵	汉昭帝
曹羲	司马懿
邱会作	吴法宪
王小波	李银河
刘交	刘邦
岳飞	宗泽
曹丕	曹操
刘表	刘备
周芷若	张无忌
郎昆	马艳丽
钱嘉乐	汤盈盈
詹姆斯	戴安娜
刘协	曹节
安志杰	谢婷婷
赵晨浩	曾志伟
刘封	刘备
刘文彩	刘文辉
吴云巢	吴承瑛
侯宝林	高德亮
李多奎	梅兰芳
李李仁	陶晶莹
郭破虏	武敦儒
红孩儿	韩志杰
许晋亨	李嘉欣
洪欣	张丹峰
卢俊义	燕青
汪小菲	张兰
刘备	赵云
谢阿蛮	高仙芝
王励勤	刘彦池
甘泗淇	李贞
李世民	李渊
谢晖	佟晨洁
于谦	郭德纲
李前宽	肖桂云
任剑辉	谭兰卿
冯沅君	陆侃如
吴清源	赵治勋
陈国熹	叶童
蒋雯丽	顾长卫
成龙	房祖名
刘芸	聂远
徐静斐	徐伯阳
蒋经国	蒋孝慈
夏雨	袁泉
诸葛亮	司马懿
马季	傅全香
成龙	洪金宝
王文玉	于谦
令狐冲	华山
秦始皇	刘邦
吕后	萧何
郁达夫	杨柳
包拯	宋仁宗
贾宝玉	张艾嘉
张氏	刘完素
成龙	元奎
翁帆	杨振宁
翟志刚	景海鹏
凌潇肃	姚晨
郭槐	贾充
叶问	叶准
周恩来	孙炳文
白炎	彦涵
王大珩	王应伟
郭富城	罗志祥
徐天红	王文娟
宋步云	高淑贞
杨荣环	宋遇春
钱伟长	钱穆
费玉清	张菲
韩玉敏	袁滨忠
女	张杰尧
曹彪	曹勤
林淑如	郭守正
洪深	钱似莺
女	吕良国
欧倩怡	郭晋安
刘彦池	王励勤
侯佩岑	连胜文
女	周景轩
林建岳	霍启山
林惊羽	曾书书
浦熙修	黄庵岫
艾慧	冯巩
女	赵本山
戴安娜	詹姆斯
杜月笙	杜美如
费孝通	吴文藻
秦沛	姜大卫
巴乔	卡拉
罗嘉瑞	罗鹰石
邓小平	邓楠
童芷苓	童寿苓
刘备	孙尚香
周丽淇	马伟豪
曹禺	莎士比亚
周华健	康粹兰
李启铭	李刚
陈锦棠	梁醒波
郝寿臣	马富禄
黄秋燕	李连杰
金正日	金正男
李立三	周恩来
包兆龙	包玉刚
双儿	韦小宝
周总理	万冬儿
李宗盛	林忆莲
谭小培	谭元寿
刘婉华	魏巍
唐杰忠	刘伟
杨小萍	刘恒林
周作人	女
原子鏸	郑佩佩
吴昕	张远
杨小娟	吕善婷
赵丽蓉	蔡明
曹节	曹华
邹承鲁	李林
贾静雯	孙志浩
叶向真	刘诗昆
金巧巧	黄光裕
李彩桦	王傲山
朱闰生	朱自清
林子祥	叶倩文
柳如是	钱谦益
范瑞娟	竺水招
孔令侃	杜月笙
李鸣岩	刘秀荣
吴淑珍	陈水扁
杨小娟	吕良国
陈水扁	吴淑珍
李虎	唐太宗
杰奎琳	肯尼迪
王祖贤	齐秦
郭全宝	侯宝林
刘滨	毛泽东
曹爽	曹羲
严化	姜大卫
叶智强	钟镇涛
大乔	孙策
宋江	阮小七
赵晨浩	刘惜君
林志玲	言承旭
詹才芳	杨静
吴慈美	林志玲
郭德纲	栾云平
曹华	曹宪
令狐冲	林平之
周瑜	孙权
冯仑	潘石屹
瞿小松	刘索拉
张幼仪	徐志摩
陈得才	陈玉成
罗兆辉	许晋亨
张文霞	陈鸣志
于谦	李菁
潘迎紫	陈鸿烈
粟裕	陈毅
余丽珍	任剑辉
释小龙	何洁
黄承彦	黄月英
邱淑贞	袁咏仪
郑中基	蔡卓妍
孙立	孙新
欧倩怡	郭令山
周勃	贾谊
子贡	孔子
孟俊泉	孟小冬
陈石遗	龙榆生
周海婴	马新云
任剑辉	白雪
李孝贞	李敬元
刘源	张德武
霍启刚	霍启山
孙悟空	牛魔王
常俊丽	郭英丽
贺怡	贺子珍
赵本山	马丽娟
林育南	林彪
胡军	刘嘉玲
吴尊	林俊杰
陈万水	宋楚瑜
陈致中	赵建铭
尹桂芳	徐天红
季羡林	季老
猪八戒	铁扇公主
梁醒波	任剑辉
孔祥熙	蒋介石
黄铁良	佟守本
金日成	金正日
李前宽	肖桂云
宋美龄	蒋经国
张茂延	金日成
贾母	贾政
杨紫琼	成龙
李昭	胡耀邦
毕春芳	袁雪芬
周信芳	李少春
谢贤	谢婷婷
李永得	邱议莹
邵晓铃	胡志强
常俊丽	赵贞玉
梅雪诗	龙剑笙
冯云山	萧朝贵
李菁	郭德纲
刘邦	刘交
鲍蕾	鲍莉
孔祥熙	孔令侃
兰汗	慕容盛
谢婷婷	谢贤
李香凝	李小龙
李敏	毛泽东
包拯	郭槐
叶问	叶准
叶少兰	孟广禄
程颐	程颢
马季	吕丽萍
黄奕	姜凯
钱钟书	杨绛
卡雷拉斯	多明戈
唐杰忠	姜昆
林志刚	邓亚萍
袁日初	袁振威
贾宝玉	林黛玉
柳无忌	柳亚子
陈三立	陈寅恪
蒋孝武	蔡惠媚
刘思齐	毛岸英
申世京	钟铉
洪秀全	杨秀清
夏侯渊	夏侯霸
郭台铭	曾馨莹
成龙	洪金宝
林立果	叶群
肖邦	乔治
吴奇隆	马苏
曹操	刘备
武敦儒	武修文
王予柔	王东生
陈冠希	杨永晴
侯宝林	侯军
刘半农	刘北茂
赵本山	赵丽蓉
郭晓玲	初永真
张庆林	罗跃嘉
徐珠贤	女
宋钟基	李信成
林心如	施易男
马冰如	周美青
姜大卫	尔冬升
谢东	侯宝林
孙尚香	刘备
佟晨洁	维多利亚
王家卫	张震
曹真	曹训
胡友松	李宗仁
文章	翁帆
聂荣臻	杨成武
傅全香	张桂凤
孙多慈	孙传瑗
晏紫	李圣根
叶玉卿	叶志铭
马福祥	马鸿宾
蒋介石	蒋纬国
郑少秋	沈殿霞
傅海峰	傅世腾
郑允浩	林俊杰
汪小莉	李赛凤
鲍莉	鲍蕾
王平	黄忠
汉献帝	曹节
周星驰	朱茵
林丹	陈宏
曹髦	曹霖
蒋介石	李励庄
米家山	潘虹
毛泽东	刘滨
曹操	汉献帝
陈道明	左小青
侯宝林	马德禄
林彪	涂俊明
蒋介石	蒋中正
程昱	吕布
陆毅	鲍蕾
端木蕻良	萧红
曹徽	宋姬
王尚勤	李敖
许志安	余德琳
吕大钧	张载
大兵	奇志
董卓	吕布
乾隆	苗若兰
唐韵	马世媛
康熙	傅恒
希姆莱	海德里希
王夫人	贾母
范瑞娟	张小巧
卫若兰	史湘云
骆耀	李小龙
陆锦花	李忠萍
林允儿	徐珠贤
郭焱	郭跃
周扬	周艾若
李嘉欣	许爱周
袁熙	甄洛
李晨	张静初
郑秀	女
周希汉	周璇
薄熙永	胡明
任冰儿	任剑辉
赵云	袁绍
胡兰成	张爱玲
孙权	孙和
侯宝林	马季
甘夫人	赵云
袁泉	夏雨
上官婉儿	上官仪
孙权	夏侯惇
冰心	吴文藻
貂蝉	许嘉宝
林则徐	同治
范瑞娟	吕瑞英
徐威	张怡宁
张正宇	张光宇
曾志伟	吴卓羲
许冠杰	许冠文
傅全香	李艳芳
孙立人	龚夕涛
李夏	杨君
秦始皇	蒙毅
白凤鸣	常旭久
曹植	卞氏
何超凤	蓝琼缨
孙仁玉	李桐轩
王蕙芳	郝寿臣
陆锦娟	胡凤英
路金波	韩寒
洪煦榆	洪天祥
李文华	姜昆
习近平	耿飚
黄敦梁	梁相
山口百惠	三浦友和
夏桂影	李嫣
曹诩	冯异
胡友松	李宗仁
马英九	秦厚修
女	何爱榆
大乔	小乔
黎炜毅	黎枫
蒋经国	蒋介石
林彪	林立果
曹操	曹丕
郝寿臣	李多奎
姜妙香	荀令香
唐义贞	陆定一
吕后	刘邦
赵本山	范伟
张曼玲	尚长荣
蒋经国	蒋介石
祝允明	徐有贞
罗志祥	周杰伦
令狐冲	华山
袁术	孙策
